nSimulations;Vega_MC;Vega_BS;Relative_Error
645000;-0.0186081;37.524;1.0005
646000;0.510206;37.524;0.986403
647000;-0.114895;37.524;1.00306
648000;-0.02448;37.524;1.00065
649000;-6.48085e-05;37.524;1
650000;-0.0459798;37.524;1.00123
651000;-0.0224944;37.524;1.0006
652000;0.00877215;37.524;0.999766
653000;0.0516492;37.524;0.998624
654000;-0.117945;37.524;1.00314
655000;-0.0201393;37.524;1.00054
656000;-0.0454045;37.524;1.00121
657000;-0.346474;37.524;1.00923
658000;-0.000546049;37.524;1.00001
659000;-0.0575474;37.524;1.00153
660000;-0.00833286;37.524;1.00022
661000;-0.154924;37.524;1.00413
662000;-0.0536607;37.524;1.00143
663000;-0.0185795;37.524;1.0005
664000;-0.0160292;37.524;1.00043
665000;-0.0211622;37.524;1.00056
666000;0.875512;37.524;0.976668
667000;-0.0706673;37.524;1.00188
668000;-0.131335;37.524;1.0035
669000;-0.601101;37.524;1.01602
670000;-0.00337836;37.524;1.00009
671000;-0.0001944;37.524;1.00001
672000;-0.121551;37.524;1.00324
673000;-0.116319;37.524;1.0031
674000;-0.00635575;37.524;1.00017
675000;-0.0318544;37.524;1.00085
676000;-0.150109;37.524;1.004
677000;-1.40174;37.524;1.03736
678000;-0.00284749;37.524;1.00008
679000;-0.0188155;37.524;1.0005
680000;-0.0983452;37.524;1.00262
681000;-0.0407746;37.524;1.00109
682000;-0.009026;37.524;1.00024
683000;-0.0492552;37.524;1.00131
684000;-4.40347;37.524;1.11735
685000;-0.0225945;37.524;1.0006
686000;-0.480581;37.524;1.01281
687000;0.146931;37.524;0.996084
688000;0.00489928;37.524;0.999869
689000;0.0149286;37.524;0.999602
690000;-0.0586159;37.524;1.00156
691000;-0.171493;37.524;1.00457
692000;-0.0937898;37.524;1.0025
693000;0.374711;37.524;0.990014
694000;-0.00386165;37.524;1.0001
695000;-1.59655;37.524;1.04255
696000;-0.00228793;37.524;1.00006
697000;-0.0178893;37.524;1.00048
698000;-0.0193069;37.524;1.00051
699000;0.228564;37.524;0.993909
700000;-0.0138279;37.524;1.00037
701000;-0.134057;37.524;1.00357
702000;-0.418186;37.524;1.01114
703000;-0.0824432;37.524;1.0022
704000;0.0019956;37.524;0.999947
705000;-0.00842972;37.524;1.00022
706000;0.0560268;37.524;0.998507
707000;0.0213118;37.524;0.999432
708000;-0.0629623;37.524;1.00168
709000;-0.255126;37.524;1.0068
710000;0.0104323;37.524;0.999722
711000;-0.13518;37.524;1.0036
712000;-3.574;37.524;1.09525
