nSimulations;Vega_Antithetic;Vega_BS;Relative_Error
720000;-0.00811556;37.524;1.00022
721000;-0.0238515;37.524;1.00064
722000;-0.0148762;37.524;1.0004
723000;-0.136758;37.524;1.00364
724000;-0.034649;37.524;1.00092
725000;-0.0520678;37.524;1.00139
726000;-0.0121261;37.524;1.00032
727000;-0.0440415;37.524;1.00117
728000;-0.0454196;37.524;1.00121
729000;-0.0244454;37.524;1.00065
730000;-0.0213142;37.524;1.00057
731000;-0.0448565;37.524;1.0012
732000;-0.588323;37.524;1.01568
733000;-0.01452;37.524;1.00039
734000;-0.0307837;37.524;1.00082
735000;-0.0252323;37.524;1.00067
736000;-0.0758592;37.524;1.00202
737000;-0.0285234;37.524;1.00076
738000;-0.0180655;37.524;1.00048
739000;-0.830282;37.524;1.02213
740000;-0.0433209;37.524;1.00115
741000;-0.0185526;37.524;1.00049
742000;-0.045169;37.524;1.0012
